restaurant_name,name,rating,review,items_ordered,purchase_date,user_since
"Kober Mie, Kaca Piring",T******,3.0,kurang asin sedikit 🤏🏻🤏🏻,Kober Mie Manis - Udang Keju - Kober Mie Manis - Kai Ca - Spicy Chicken Wings - Pao Pandan,8 August 2024,Gojek user since 13 May 2017
"Kober Mie, Kaca Piring",S**** W**** A**,4.0,kurang d cek telitinya karna saya beli ndak d kasih sumpit nya,Mie Iblis,30 March 2021,Gojek user since 15 December 2017
"Kober Mie, Kaca Piring",avivah,4.0,kurang gurih kerasa pedasnya tok,Mie Setan - Mie Setan,21 December 2021,Gojek user since 16 July 2019
"Kober Mie, Kaca Piring",Enika Sari,4.0,kurang kecapnya ... hehehe.,Mie Setan,12 January 2022,Gojek user since 1 October 2018
"Kober Mie, Kaca Piring",F***,3.0,kurang lengkap pesanan nya,Mie Angel - Mie Iblis - Siomay - Ceker,18 November 2022,Gojek user since 15 March 2022
"Kober Mie, Kaca Piring",H****,3.0,kurang matang mienya,Mie Iblis - Udang Rambutan - Sushi - Mie Iblis,17 November 2021,Gojek user since 19 December 2019
"Kober Mie, Kaca Piring",Indrii Amandaa,3.0,kurang mateng udang rambutannya,Mie Iblis - Udang Rambutan,23 January 2022,Gojek user since 5 April 2019
"Kober Mie, Kaca Piring",yogi,3.0,kurang nampol pedadnya,Ceker - Keyca - Es Tuyul,16 January 2023,Gojek user since 16 October 2016
"Kober Mie, Kaca Piring",Della,2.0,kurang pedas dan kurang kecap,Kober Mie Manis - Udang Keju - Udang Rambutan,19 August 2024,Gojek user since 6 August 2024
"Kober Mie, Kaca Piring",D***** D*******,1.0,kurang pedas sekali n porsinya dikid bgd,Mie Iblis - Mie Iblis - Mie Iblis - Es Genderuwo - Udang Rambutan - Ceker,7 March 2021,Gojek user since 21 January 2017
"Kober Mie, Kaca Piring",I*** M******* S*****,4.0,kurang pedasssss,PPKM 4 - Udang Rambutan - Siomay - Udang Keju,10 August 2021,Gojek user since 15 October 2018
"Kober Mie, Kaca Piring",adit,4.0,kurang pedes hehe,Kober Mie Manis - Lumpia Ayam,4 April 2025,Gojek user since 19 March 2016
"Kober Mie, Kaca Piring",N**** A***,2.0,kurang satu pesenan sayaa...restorannya kurang teliti,Kerang Emas - Mie Iblis - Udang Rambutan,12 December 2021,Gojek user since 15 October 2021
